TEMA,SUBTEMA,SUBCATEGORIA,PREGUNTA,RESPUESTA
Valor posicional ,Unidades y decenas ,Grupos de diez objetos ,¿Cuántas decenas hay en el número 80?,8
Valor posicional ,Unidades y decenas ,Grupos de diez objetos ,¿El profesor de educación física tiene 30 pelotas de fútbol? ¿Puede poner las pelotas de fútbol en (RESPUESTA) grupos de 10?,3
Valor posicional ,Unidades y decenas ,Grupos de diez objetos ,¿A cuanto equivalen 4 decenas?,40
Valor posicional ,Unidades y decenas ,Grupos de diez objetos ,El número 70 tiene (RESPUESTA) grupos de diez,7
Valor posicional ,Unidades y decenas ,Grupos de diez objetos ,Anthony atrapó 50 catarinas. Un frasco puede guardar diez catarinas. Anthony necesita (RESPUESTA) frascos para guardar sus 50 catarinas ,5
Valor posicional ,Unidades y decenas ,Grupos de diez objetos ,En el zoologico hay 50 leones. Los leones pueden ponerse en (RESPUESTA) grupos de 10,5
Valor posicional ,Unidades y decenas ,Grupos de diez objetos ,Una bolsa puede contener diez gallestas. El hada de las galletas tiene 60 galletas. El hada de las galletas necesita (RESPUESTA) bolsas para las 60 galletas ,6
Valor posicional ,Unidades y decenas ,Grupos de diez objetos ,Hay 70 bicicletas. Las bicicletas pueden ponerse en (RESPUESTA) grupos de 10,7
Valor posicional ,Unidades y decenas ,Decenas y unidades,7 decenas + 5 unidades = (RESPUESTA),75
Valor posicional ,Unidades y decenas ,Decenas y unidades,38 = (RESPUESTA) decenas + 8 unidades,3
Valor posicional ,Unidades y decenas ,Decenas y unidades,38 = (RESPUESTA) unidades,38
Valor posicional ,Unidades y decenas ,Decenas y unidades,En el zoologico hay 80 leones. Los leones pueden ponerse en (RESPUESTA) grupos de 10,8
Valor posicional ,Unidades y decenas ,Decenas y unidades,9 decenas + 2 unidades = (RESPUESTA),92
Valor posicional ,Unidades y decenas ,Decenas y unidades,Hay 20 bicicletas. Las bicicletas pueden ponerse en (RESPUESTA) grupos de 10,2
Valor posicional ,Unidades y decenas ,Decenas y unidades,El número 40 tiene (RESPUESTA) grupos de diez,4
Valor posicional ,Unidades y decenas ,Decenas y unidades,87 = (RESPUESTA) unidades,87
Valor posicional ,Unidades y decenas ,Desafío de valor posicional de 2 digitos ,¿Qué número es lo mismo que 3 decenas + 18 unidades?,48
Valor posicional ,Unidades y decenas ,Desafío de valor posicional de 2 digitos ,¿Qué número es lo mismo que 5 decenas + 12 unidades?,62
Valor posicional ,Redondear,Redondea a la decena o centena mas cercana ,A la gallina le tomó 75 segundos cruzar el camino. Redondea el numero de segundos a la decena mas cercana ,80
Valor posicional ,Redondear,Redondea a la decena o centena mas cercana ,Un Vaso tiene 356 ml de jugo de manzana. Redondea la cantidadd de jugo de manzana a la centena mas cercana ,400
Valor posicional ,Redondear,Redondea a la decena o centena mas cercana ,¿Cual es el numero mayor que se redondea a 60 si estamos redondeando a la decena mas cercana? ,59
Valor posicional ,Redondear,Redondea a la decena o centena mas cercana ,Redondea 89 a la decena mas cercana ,90
Valor posicional ,Redondear,Redondea a la decena o centena mas cercana ,Redondea 89 a la centena mas cercana ,100
Valor posicional ,Redondear,Redondea a la decena o centena mas cercana en la recta numérica ,¿Cuánto es 238 redondeado a la decena más cercana?,240
Valor posicional ,Redondear,Redondea a la decena o centena mas cercana en la recta numérica ,¿Cuánto es 238 redondeado a la centena más cercana?,200
Valor posicional ,Redondear,Redondea a la decena o centena mas cercana en la recta numérica ,¿Cuánto es 431 redondeado a la centena más cercana?,400
Valor posicional ,Redondear,Redondea a la decena o centena mas cercana en la recta numérica ,¿Cuánto es 431 redondeado a la decena más cercana?,430
Valor posicional ,Redondear,Redondea a la decena o centena mas cercana en la recta numérica ,¿Cuánto es 675 redondeado a la centena más cercana?,700
Valor posicional ,Redondear,Redondea a la decena o centena mas cercana en la recta numérica ,¿Cuánto es 675 redondeado a la decena más cercana?,680
Valor posicional ,Redondear,Redondea a la decena o centena mas cercana en la recta numérica ,¿Cuánto es 116 redondeado a la centena más cercana?,100
Valor posicional ,Redondear,Redondea a la decena o centena mas cercana en la recta numérica ,¿Cuánto es 116 redondeado a la decena más cercana?,120
Valor posicional ,Redondear ,Desafío de redondear a la decena o centena mas cercana ,"Si consideramos que 7 es el digito de las unidades, 5 es el digito de las decenas, y 500 es la centena mas cercana cuando redondeamos,¿Cuál podría ser el número mas grande que cuente con estas cualidades?",457
Valor posicional ,Redondear ,Desafío de redondear a la decena o centena mas cercana ,"Si consideramos que 10 es la decena mas cercana cuando redondeamos y que 2 es uno de los digitos,¿Cuál podría ser el número mas grande que cuente con estas cualidades?",12
Valor posicional ,Redondear ,Desafío de redondear a la decena o centena mas cercana ,¿Cuál puede ser el numero natural mas grande que se redondea hacia arriba o hacia abajo a 20 si estamos redondeando a la decima mas cercana?,24
Valor posicional ,Redondear ,Desafío de redondear a la decena o centena mas cercana ,¿Cuál puede ser el numero natural mas chico que se redondea hacia arriba o hacia abajo a 20 si estamos redondeando a la decima mas cercana?,15
Valor posicional ,Valor posicional ,Valor posicional ,"En una tabla, tenemos como dato que el valor de las centenas es 8, el de las decenas es 0, y el de las unidades es 2. Habiendo analizado estos datos, ¿cual es el valor del valor posicional?",802
Valor posicional ,Valor posicional ,Valor posicional ,¿Cuantas unidades se encuentran en el valor posicional de 394?,394
Valor posicional ,Valor posicional ,Valor posicional ,¿Cuántas decenas se encuentran en el valor posicional de 734?,73
Valor posicional ,Valor posicional ,Valor posicional ,¿Cuántas centenas se encuentran en el valor posicional de 293?,2
Valor posicional ,Valor posicional ,Valor posicional ,¿Cuántas decenas se necesitarian para poder equivaler el valor posicional de 729?,72
Valor posicional ,Valor posicional ,Valor posicional ,¿Cuántas unidades se necesitarian para poder equivaler el valor posicional de 672?,672
Valor posicional ,Valor posicional ,Valor posicional ,¿Cuántas centenas se necesitarian para poder equivaler el valor posicional de 510?,5
Algebra ,Fundamentos de algebra,Evaluar Expresiones con una sola variable,Evalúa n/6 + 2 considerando que n=12,4
Algebra ,Fundamentos de algebra,Evaluar Expresiones con una sola variable,Evalua c - 2 considerando que c=7,5
Algebra ,Fundamentos de algebra,Evaluar Expresiones con una sola variable,Evalua 9 - 8/S considerando que s=4,7
Algebra ,Fundamentos de algebra,Evaluar Expresiones con una sola variable,Evalua 8 + 3e considerando que e=2,14
Algebra ,Fundamentos de algebra,Evaluar Expresiones con una sola variable,Evalua 5 - t/3 considerando que t=12,1
Algebra ,Fundamentos de algebra,Evaluar Expresiones con multiples variables,Evalúa 3+jk+k**3 considerando que j=2 y k=6,231
Algebra ,Fundamentos de algebra,Evaluar Expresiones con multiples variables,Evalúa 9/g + 2h + 5 considerando que g=3 y h=6,20
Algebra ,Fundamentos de algebra,Evaluar Expresiones con multiples variables,Evalúa 10m + (n^2)/4 considerando que m=5 y n=4,54
